z_over_c,CP
0.00180609,-0.80034744
0.00890320,-1.87913747
0.02128104,-2.18911645
0.03532999,-1.44636780
0.05011024,-1.31233363
0.06546356,-1.44417025
0.07998146,-1.53087551
0.09454570,-1.45033200
0.10938402,-1.44481151
0.12406687,-1.28683170
0.13890014,-1.03982618
0.15382469,-0.83717817
0.16889488,-0.71049168
0.18418258,-0.55120737
0.19958653,-0.49186011
0.21516885,-0.48083341
0.23065868,-0.48114322
0.24592502,-0.45809710
0.26117330,-0.47440600
0.27665670,-0.52161448
0.29223207,-0.53345192
0.30764399,-0.49505833
0.32305770,-0.47127174
0.33855030,-0.45911548
0.35374824,-0.45247441
0.36901848,-0.44969622
0.38451922,-0.44753074
0.39982541,-0.44791834
0.41501376,-0.44736375
0.43039166,-0.44791067
0.44598103,-0.44865420
0.46155818,-0.44968563
0.47706809,-0.44982413
0.49249916,-0.44974463
0.50826236,-0.44942274
0.52334477,-0.44967711
0.53860139,-0.44862394
0.55487234,-0.44789467
0.56994308,-0.44729716
0.58513816,-0.44698459
0.60143411,-0.44764955
0.61642931,-0.44905840
0.63158091,-0.44853131
0.64772211,-0.44923836
0.66325237,-0.45092639
0.67863702,-0.45266280
0.69407251,-0.45461050
0.70958758,-0.45573941
0.72568576,-0.45716537
0.74069860,-0.45773267
0.75577158,-0.46069455
0.77192842,-0.46379583
0.78738394,-0.46496735
0.80273749,-0.46569010
0.81768033,-0.46669631
0.83320761,-0.46787667
0.84916522,-0.46958360
0.86471389,-0.47123259
0.88077660,-0.47345711
0.89627052,-0.47517481
0.91167572,-0.47621952
0.92155549,-0.47722852
0.92901589,-0.47835121
0.94243198,-0.47976435
0.95746807,-0.48302103
0.97242076,-0.48457898
0.98600409,-0.49172516
0.99560333,-0.48541533
1.00000000,-0.46608723
